Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2025-09-03,IWM,1.0,233.7,233.7,0.0,AUTO BUY - close>50dSMA,,
2025-09-03,XBI,4.0,93.65,374.6,0.0,AUTO BUY - close>50dSMA,,
2025-09-03,SPY,,,2500.0,718.0,MANUAL SELL LIMIT - AUTO SELL RULE,5.0,643.6
2025-09-03,SPY,1.0,643.6,643.6,0.0,AUTO BUY - close>50dSMA,,
2025-09-03,QQQ,1.0,570.07,570.07,0.0,AUTO BUY - close>50dSMA,,
2025-09-05,IINN,,,12.5,-1.200000000000001,MANUAL SELL LIMIT - AUTO SELL RULE,10.0,1.13
2025-09-05,ABEO,,,23.08,4.400000000000002,MANUAL SELL LIMIT - AUTO SELL RULE,4.0,6.87
2025-09-05,SPY,2.0,647.24,1294.48,0.0,AUTO BUY - close>50dSMA,,
2025-09-05,IWM,5.0,237.77,1188.85,0.0,AUTO BUY - close>50dSMA,,
2025-09-05,QQQ,1.0,576.06,576.06,0.0,AUTO BUY - close>50dSMA,,
2025-09-05,XBI,10.0,95.47,954.7,0.0,AUTO BUY - close>50dSMA,,
